"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Edit","Toggle Word Wrap","⌥⌘Y","Editing Text"
"Terminal view commands","Terminal view insert","⌥V","Terminal Typing Connected"
"Database Tools","Execute Selected Text As One Statement","⌥C","Editing SQL"
"Terminal view commands","Paste","⇧Insert","Terminal Control in Focus"
"Terminal view commands","Terminal view insert","⌥A","Terminal Typing Connected"
"Navigate","Quick Hierarchy","⌘T","Editing JavaScript Source"
"Navigate","Quick Outline","⌘O","PDE editor"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Window","Next Perspective","⌘F8","In Windows"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Run/Debug","Debug on Server","⌥⇧D R","In Windows"
"Refactor - JavaScript","Extract Function","⌥⌘M","JavaScript View"
"SQL Results View","Remove Result","⌘⌦","In Windows"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Edit","Matching Tag","⌃⇧.","Editing in Structured Text Editors"
"Views","JavaScript Type Hierarchy","⌥⌘Q T","JavaScript View"
"Navigate","Open Type","⇧⌘T","In Windows"
"Navigate","Open Type","⇧⌘T","Editing JavaScript Source"
"Search","Declaration in Workspace","⌘G","In Windows"
"Window","Maximize Active View or Editor","⌃M","In Windows"
